All-New, All-Different Avengers;85928
The Amazing Spider-Man;2127
The Amazing Spider-Man;73420
The Amazing Spider-Man;2189;Annual
The Amazing Spider-Man;22146
The Amazing Spider-Man;22405
The Amazing Spider-Man;22719
Spider-Man 2099;18354
Spider-Man 2099;75557
Spider-Man 2099;85312
Marvel Universe Ultimate Spider-Man: Web Warriors;78355
Marvel Team-Up;2576
Marvel Team-Up;2863
Marvel Team-Up;6011
Marvel Team-Up;18024
Ultimate Marvel Team-Up;7515
Spider-Man Team-Up #1-7;5561
Giant-Size Spider-Man;2686
The Spectacular Spider-Man;2870
The Spectacular Spider-Man;3012
The Spectacular Spider-Man;11069
Web of Spider-Man;3519
Web of Spider-Man;3520;Annual
Web of Spider-Man;28576;
Spider-Man;4421
Peter Parker: Spider-Man;9142
Spider-Man Unlimited;5048
Spider-Man Unlimited;10760
Spider-Man Unlimited;11306
Untold Tales of Spider-Man;5562
The Sensational Spider-Man;5788
The Sensational Spider-Man vol. 2;18177
Webspinners: Tales of Spider-Man;9375
Spider-Man's Tangled Web;7255
Marvel Knights Spider-Man;11066
The New Avengers;11497
The New Avengers;33777
Friendly Neighborhood Spider-Man;17998
Spider-Man Family;18459;Quarterly
The Amazing Spider-Man Family;18459
The Avengers;2128
Fantastic Four;2045
Avenging Spider-Man;43884
The Superior Spider-Man;Superior Spider-Man
Spider-Girl;6218

